square,name,type,description,color,visible
002.009,LOST GIANT,location,"The broken body of an ancient machine of war the size of a 20-story building. It hates Mutants, and Non-Humans. If reactivated will fight as a Storm Giant. Has room to fit 300 soldiers within its insides.",#c8b888,true
002.013,DINOSAUR GRAVEYARD,location,"A field of 100 dead dinosaur bones. Hidden amongst the graves are 20 Radioactive Zombie Dinosaurs of various types. They are currently undisturbed. Though if disturbed, and left unchecked they should begin to ravage the Borderlands.",#c8b888,true
002.029,THE BIZARRE BAZAAR,location,"A popup tent-bound store that is seemingly endless within. It is run by a strange Khalidian man who will be sweeping outside throughout all hours of the day, and night. The store seems to have anything, and everything for sale. Including, but not limited to, a kaleidoscope that allows you to view both heaven and hell, a book filled with alien languages teaching dark secrets, a manual on fighting techniques that can best any swordsman, and beautiful exotic women from across the universe. In actuality everything in the bazaar is a fake. The swords are rusted, the women are actually giant hideous spiders, and hidden in the back of the bazaar is a black wall that will trap souls within its inky waters. The man running the bazaar is actually a four armed inter-dimensional Stone Golem that will attack anyone who catches on to the illusion. The goal of the bazaar is to trick travelers out of their money. A few things can see through this illusion, the Detect Invisible or like spells, or the Veil of the Many Eyed one. The veil is thin and appears to be made of spider webs. When placed over the eyes it will see through any illusion.",#c8b888,true
004.014,LAIR OF THE ROACH GOD,dungeon,"Deep within the bowels of this mountain range, lies a seemingly endless amalgamation of tunnels, and caves leading deeper and deeper. It is inhabited by thousands of giant bugs, and between 30-300 human victims. At the core of this darkness lies passage to the realm of the Roach God. This hellish plane is home to all things known, and unknown that crawl upon their belly. The Roach God himself resides within here in communion with his cult.",#44aa44,true
005.018,XERXES’ HOUSE OF HOPE,player owned,"Home of an old fort, now occupied by Xerxes Amaranth. Known as the Daemon-Blooded 9th Prince of Urden, a Necromancer Daemon, and 12th lvl Magic-User rumored to be able to heal anything, including death itself. Within the fort resides Xerxes' lab partner, Sage the Potion Master, and Grand Alchemist rumored to be the best in the world. Xerxes maintains an army of 400 skeletal warriors, and his generals including ""Beast"" a Minotaur, ""Diovlis"" a Wight, and ""Phynix"" a Mind Eater. He rarely uses his necromantic army however, and instead keeps them on the defensive. (SEE MORE IN BOOGALOO 1.",#44aa44,true
006.011,DYNACO A.N.T. FARM,dungeon,"the epicenter of Dynaco activities in the Borderlands. 400 Robots, 100 Mutants, and 200 Dynaco Employees are here at any given time. His body is hidden within this pyramidal mega-factory attached to the Simulacrum Machine. A device that allows him to escape his sins into a monochrome simulation of New Babylon, and his home in the suburbs. He is trapped here in a child-like form. His imagination fueling the creation of new robots, and experiments, being run by the same Being who first corrupted his mind, and brought him here. The Being will protect the mind of Arthur at all costs. In order to further his machinations.",#44aa44,true
006.015,A NOBLE STEED,location,"A metal horse that never tires, has been spotted here in the Dead Zone. It is wild, and difficult to tame. A rider must succeed thrice on a Dexterity Check with a +5 Penalty to tame. The Horse acts as a Heavy Horse with an AC of 2+2, and never requires food or drink.",#c8b888,true
007.003,CASTLE THUNDORAK,castle_or_fort,"Inhabited by 60 intelligent Apes, and their White Ape leader who stole a psychic amulet from ancient aliens. He now uses this amulet to steal villagers of nearby towns, and settlements to use in strange experiments deep within its halls. There is a 25% chance this White Ape is also in possession of Excali-Gun, being chosen as its current wielder.",#aaaaff,true
009.006,WHITE STONE,dungeon,"A Floating Island of Urdish Wizard’s towers, and 30-300 Orcish Soldiers. Once a month it will move 10 hexes in a random direction, and hover there for another month. Once a year it returns to 0906 for the wizards to perform their profane ritual to keep it afloat. If the Tower stops floating over a settlement they will attempt to destroy and/or capture it.",#44aa44,true
009.015,CASTLE DREAD,player owned,"Placed atop a grand mountain lies a keep built to precise measurements out of enchanted blocks of ice rendering it invisible to the naked eye outside of 100’ of it. Ruled by the 12th level Greenskull Magic-User Cryomancer Maxilla the Dread. Under control of Maxilla are 10 Ice Golems, 20-200 Spawns of Dread, 20 Wights, and 1 White Dragon. Maxilla has a Wand of Cone of Cold, a Rod of Resurrection, A +2 blood-red Sabre that can sap 1-6 hp of health away from a target on a successful hit, and add it to the next strike’s damage, The stolen armor of the now dead Vampiric Blood King which counts as +2 Half-Plate, and a spellbook containing the following spells: 8 random 1st level spells, 7 random 2nd level spells, Ice Blast (as Fire Ball but freezes targets upon death), Lightning Bolt, Protection from Radiation, Hallucinatory Terrain, Wall of Ice, Charm Monster, Conjure Elemental, Cloudkill, Teleport, Stone to Ice, Death, and Summon Creature IV",#44aa44,true
009.023,NULN ★,city,"A settlement filled with all manner of thieves, murderers, and vagabonds. Holding a steady population of 2,000 citizens. 20% of which will be Pure Strain Humans, and the other 80% are Mutants with varying degrees of deformities. The Thieves guild borderland’s headquarters resides within this swamp town. It is here that Korgath will send reports back to the two major headquarters within New Alexandria, and the Imperial City of Malores.",#ff6644,true
010.012,THATAM ★★,city,"A valley town who mainly exports minerals mined from the northern, and southern mountains surrounding the village. Has a population of around 3,000 citizens. 80% will be human or mutant and the other 20% vary. The Blackjack Brothers' Wagon Company bases themselves here as well. They will sell most basic equipment, and there is a 15% chance upon each visit that they also have a random magic item for sale.",#ff6644,true
011.001,OSMIAN WAR CAMP,castle_or_fort,"Osmian Mercenaries have set up this base of operations within the region. They will have between 40-400 soldiers to spare at any given time. They will fight as Cavemen, but may have any weapon. The Osmians are a cursed people. Their homeland is plagued by an eternal, and violent storm. All Osmians are born albino, and have pale red eyes. Those of the Warrior caste, upon reaching the age of 8 years old, are ritualistically blinded, and taught in the ancient blind-fighting style. They are reluctant to teach this technique to outsiders, but those who have formed a strong bond may be willing to share the art for a hefty price. Those with blind-fighting do not receive negative modifiers to attack rolls while in darkness, or blinded. This takes 1 year to master under close guidance of an Osmian Elite. Osmians are truly a neutral culture, and have no qualms about fighting for the highest bidder. Osmian naming conventions are based on Caste, birth circumstances, and achievements. It is the dream of their Warrior Caste to earn their name in battle. Their name begins with their caste prefix, followed by their birth suffix. Their earned name comes last. Most Osmians do not have an earned name. As such many Warrior Osmians share one of the 3 most common names Vulsh-Ar, Vulsh-El, and Vulsh-Thul. Usually this leads to your rank being a more important differentiator until an earned name is achieved. For example, a Warrior born in the Tower Black who has defeated a Dragon may be named Vulsh-Ar Dragen. 

Prefix for Caste or Profession: Vulsh-: Warrior Caste Zyth-: Mage Caste Quel-: Ruling Caste Zulth-: Healer Caste Grynd-: Masonry Caste Tael-: Scholar Caste Phaer-: Merchant Caste Orin-: Spiritual Caste Veyr-: Smithing & Armorer Caste Kael-: Artist Caste Qyral-: Judiciary Caste Saeg-: Slave Caste 

Suffix for Birth Circumstances: -Ar: Born in the Tower Black within the birthing pods of Champions. -El: Born on foreign land. -Thul: Born at sea. -Yyra: Born in the wilderness under the open sky. -Qin: Born during a battle on or near the battleground. -Ruun: Born to mixed blood. (takes precedence to other circumstances) -Sor: Born in an Osmian Temple. -Kla: Born in the Underworld.",#aaaaff,true
011.003,TOWER OF KURBULKALIN,dungeon,"Tower of a Mad Mage, and Worshiper of Mobius the Mad God, Kurbulkalin. He will always have 1-3 kidnapped villagers to test his magical spells on. He searches endlessly for the Necrophage, and the secrets of Lichdom. He commands 100 cult-like mercenaries that protect the halls of his tower. There is a 1 in 6 chance upon arrival that Kurbulkalin is away looking for more victims, he will return in 24 hours.",#44aa44,true
012.012,WINDMILL,location,"An old windmill containing 3 unruly Hags who are more than willing to trade children in exchange for granting limited wishes. They are however fickle, and easily offended. They will not hesitate to eat rude clients.",#c8b888,true
012.032,STURMWALD CASTLE,castle_or_fort,"Situated on a river where each spring a strange breed of fish, named ‘Hyperglow’ for the green glow of their scales at night, swims upstream. Their presence turns the water green for miles. This Castle, and its Village are under constant threats from Rival Barons, Bandits, and Monsters. The superstitious populace of 3,000 humans believe that long ago, an otherworldly being saved their peoples from a bandit attack. The legend has been continued amongst folk since 1387 PI, when guards reported pale, gaunt figures with owl-like faces standing near the caves by the river. They still, to this day, carve owl faces into their buildings, as a ward against evil. The Castle is attacked frequently, and is rarely under the control of the same Lord for long.",#aaaaff,true
016.017,FUNGAL TOWN,city,a Colony of 40-400 Mycelians led by a 100’ great fungal one. Fights as a Stone Giant. A cave mouth on the mountain marks the entrance. The town itself is 1 mile under the mountain. There is a spire in the middle of the cavern that acts as the home of this settlement's Patron. The landscape is an underground swamp-like climate. The Patron is a mass of living fungi stretched across the entire civilization.,#ff6644,true
017.030,CRASHED ALIEN SPACESHIP,location,"Remnants of a flying saucer that crashed a hundred years ago. It is now hidden within a deep cave caused by its impact. 1-4 Greys survived the crash, and are trapped in cryosleep deep within. The engine is functioning, but requires more Starshards to get it moving, as well as requiring a combined 60 intelligence ability score amongst the party to understand its controls. The craft is fitted with a malfunctioning Laser Canon that can Disintegrate targets, as per the Spell at a rate of 1 shot per turn.",#c8b888,true
019.017,THE BORDERLANDS KEEP ★★,castle_or_fort,"Ruled by Castellan Braun the Marquess of the Keep. He commands a force of 200 soldiers/guards. 20% of which will be outfitted with flintlock firearms. The Keep maintains a Maloresian presence in the region, but is constantly under attack. Within the Keep is a Chapel to Mendorf, which contains a 6th level Cleric who is willing to take an apprentice. It also contains provisioners, stables, an inn, a tavern and anything a lowly party would need for a base of operations within the region. On the edge of the Keep is a Witch’s Tower that is begrudgingly allowed to exist under orders of the Castellan. The Witch is a 10th level Magic-User who is also willing to take on apprentices who carry out her various obscure quests. Admittance into the Keep costs 8sp. Outside the Keep are 1-8 crucified brigands at all times.

The Castellan of the Keep is in constant struggle against the monsters living within the Chaos Caves. He will pay adventurers a handsome sum to fight them back into the darkness. The Merchants Guild will also pay 10sp per cracked Starshard collected from either within the Chaos Caves, or elsewhere in the Borderlands.

Mountain Pass Around the Keep. Allows overground travel yet its rocky terrain makes the pass take 3 wilderness movements, as per mountains, to cross. The pass is guarded by a Griffon, and its nest of 3-6 eggs. It will attack on a 1 in 6 chance each time a group of 4, or more cross the pass. There is a 2 in 6 chance a Patrol of Keep Soldiers will be passing through at any given time. 

Tunnels of the Ancient Keep. A path exists for faster travel under the keep allowing passage as if it were clear terrain. Passage costs 5sp both ways. It is fitted with a portcullis on either side of the mountain. The subterranean pass was made before the Starfall and somehow still exists. No one knows exactly how it was built or who built it. There is an entrance to the underworld halfway through the tunnel. The soldiers will warn travelers not to stay within the Tunnels at night, and to never enter the caves of the underworld. They speak of the dead coming back to haunt this unholy ground. At night there is a 3 in 6 chance while traveling within the tunnels, that the party will be attacked by 4-24 Zombies and 1-3 Wights. Within the underworld caves there exists a Dynaco Facility leaking Radiation Intensity 12 at all times within its halls.",#aaaaff,true
020.023,RONIN'S VINEYARD ★,city,"A surprisingly verdant, and wealthy Vineyard owned by Michael Ronin. He has no trouble with the beasts living in the borderlands. Travelers spending the night in his home are for some reason never seen again.",#ff6644,true
021.014,PIXIE FIELD,location,"2-20 Pixies will be playing “War” within this wild grain field on a 1 in 6 chance. They will be mimicking humans by killing each other in increasingly violent ways, giggling the entire time. The Pixies don't understand that their friends won't come back to life. There is a 4 in 6 chance they will assume the party wants to play with them as well.",#c8b888,true
022.002,CASTELLE BLACK,castle_or_fort,"Ruled by Mercenary Commander Klaus Black, an Albino Kobold who fights as a level 9 Fighting-Man. He commands 285 soldiers who fight as Bandits. Castelle Black is a veritable fortress outfitted with two walls, a moat, and 5 watchtowers. Klaus has made a fortune campaigning within the borderlands, and his treasure vault contains 10,000gp worth of coin, gems, jewelry and magic items. Updated Information Here: Black Hound Mercenary Guild",#aaaaff,true
023.010,CHAOS CAVES,dungeon,"A series of 11 caves found within the valley. These caves house unspeakable horrors, brigands, Urdish Orcs, and more. Within this labyrinthine monster hotel, valuable Starshard can be sourced. This was once the site of one of the first fallen Stars in the world of Firnum. Most but not all of the radiation leaked from the crash has subsided. There will always be a Radiation Intensity between 10-18 within the caves. In addition, one of the cave entrances has been sealed off. Rumor has it that a skirmish between the forces of Stomping Hog and the rogue Skull Division of Urden was fought here. During the battle an opening to hell was unleashed. Captain Olaf of the Skull Division forces was devoured instantly. The Cave entrance was blown apart upon the Hog’s escape. Who knows what may still lurk within.",#44aa44,true
023.013,CABIN OF WOE,location,This cabin is not really a cabin at all. It is in fact home to an Elder God living beneath the floor boards. A mad man currently lives inside. Believing himself the priest of the one true God.,#c8b888,true
023.022,ARDYHN ★★★,city,"This small village has been attacked by the Forget-Me-Not beast. The town has lost 350 of its 400 villagers. Now with 50 left, and half the town being empty it will be a strange sight for players to see. Villagers crying at random moments, empty homes, and people living alone in huge houses. The beast lives in the small cave overlooking the town waiting to strike. 

FORGET-ME-NOT. AC 4 | HD 8 | HP 40 (see special) | #E 1 | MV 20’ | THAC0 13 | #A 1 per head for 1-10 damage | SV 13 | ML 12 | AL CE | XP 2,000 | T (IX) | Its serpentine necks strike with terrible speed, each maw lined with rows of needle-sharp teeth that can crush bone and tear flesh. The creature’s alabaster flesh pulses with an unholy vitality as it feeds, growing ever larger with each victim consumed. Each head can strike at 30’ range, but leaves the neck vulnerable to opportunity attacks.

Special: The Forget-Me-Not begins with one head, gaining more as it gorges on human flesh (3/8/18/35/70/120 victims per new head). With each head sprouted from its writhing mass, the beast gains 30hp, and grows larger, from Small to eventually Huge. Whenever a Forget-Me-Not is not within direct eyesight it is completely forgotten. Meaning if it attacked you, and ran away, you wouldn't know why you are bleeding.",#ff6644,true
026.030,THE ORACLE'S VAULT,dungeon,"Like a god’s finger shooting up from the earth, this ancient tower of horrors is an ever shifting labyrinth. With each level morphing under the whims of strange powers.",#44aa44,true
027.019,THE CAMP OF THE HOG,castle_or_fort,"Agents of Chaos in servitude to the rogue former slave of Urden “Stomping Hog”. He is an intelligent Orc Magic-User of 8th level. He hates both Urden and Malores, and is using his troops to bring about a new age within the Borderlands. This camp is his current base of operations. His forces consist of 40 Orcs, 100 Bandits, and 200 Dwarves. As well as the following NPCs: Tuomas the lvl 3 Orc FM, Conrad the lvl 3 Human Thief, Detlef the lvl 3 Human FM, Aldaberta the lvl 4 Human MU, Anita the lvl 1 Human Thief, and Glorfin the lvl 6 Dwarf FM. The camp is maintained by Wilfhelm the old bandit leader who fights as a lvl 4 FM.",#aaaaff,true
028.023,"ANCIENT BATTLEFIELD OF A 1,000 SWORDS",location,"Site of a battle that is rumored to have lasted for 100 days, and 100 nights. The spirits of the forsaken soldiers still haunt the fields. Locals will warn adventurer’s to keep away. Though they will also speak of a sword hidden amongst the horror that will make its wielder invulnerable.",#c8b888,true
029.028,VELOCIRAPTOR HUNTING GROUNDS,location,"3-18 Velociraptors are stalking this area at any given time. Their normal prey being the local deer, but they wont pass up on man flesh.",#c8b888,true
030.009,BABA YAGA'S HUT,dungeon,"The chicken legged hut of the troll witch Baba Yaga. Villagers will swear they see her flying through the air in her mortar, and pestle. She owns three magical horses that travel 3 times the speed of a light horse. The inside of her hut is much larger than the outside and can connect to other worlds. She has been known to strike Faustian bargains with poor travelers who are down on their luck. Villagers say she normally accepts children in return for these favors.",#44aa44,true
030.022,TEMPLE OF RATHMUN KET,dungeon,"This is actually the landing site of an ancient alien God by the name of Rathmun Ket. He is very much alive and sleeping within his stasis chamber. He fights as a Lich, and has an army of mutant creatures that he has collected throughout the Violet. His pyramidal “Ship” acts as a net of sorts. Capturing new test subjects for his profane experiments.",#44aa44,true
031.002,CASTELLE BLU' ★★★,city,"This port, and castle are built upon an island and ruled by a mad king who has been possessed by a daemon. He maintains a small army of 100 men who fight as Bandits. This is where most sea travel comes, and goes from the Borderlands. Ships from Khalida, The Free Ports, or New Alexandria are among the most common. There is a 5sp entry fee to access the Island by Ferry, and it costs 10sp per week to dock a ship. Passage out of the Borderlands can also be acquired here either by buying a ship at the dockyard or hiring a captain to sail you. Travel costs vary depending on the intended destination.",#ff6644,true
035.015,GOBLIN HILL,location,This mound has been the gathering site of Goblins for hundreds of years. No one knows why once a year Goblins from across the Borderlands congregate here under the New Year's Stars. Rumor has it that the Goblin’s God Burgenhowler even makes an appearance during these festivities.,#c8b888,true
035.023,MOUNT EVERMOURN,location,The highest mountain in the Borderlands. At its peak lies a temple to Arteleostos “The Ruby Queen”. The monks of this temple have secluded themselves here to study the stars. Claiming it to be the closest to heaven one can reach in Firnum.,#c8b888,true
